date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:01:27	1807/1807	---M-Z	200	added ('OK')	text/html	etag:W/%2261a5dc44-70f%22	https://pandeytanish.github.io/LOGINPAGE/landing.html	C:/My%20Web%20Sites/expensive%20tracker/pandeytanish.github.io/LOGINPAGE/landing.html	(from )
02:01:27	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225e6d6874-239b%22	https://pandeytanish.github.io/robots.txt		(from )
02:01:27	4672/4672	---M-Z	200	added ('OK')	text/css	etag:W/%2261a5dc44-1240%22	https://pandeytanish.github.io/LOGINPAGE/style.css	C:/My%20Web%20Sites/expensive%20tracker/pandeytanish.github.io/LOGINPAGE/style.css	(from https://pandeytanish.github.io/LOGINPAGE/landing.html)
02:01:28	58935/58935	---M-Z	200	added ('OK')	text/css	etag:%225f0f47d3-e637%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.14.0/css/all.min.css	C:/My%20Web%20Sites/expensive%20tracker/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.14.0/css/all.min.css	(from https://pandeytanish.github.io/LOGINPAGE/landing.html)
02:01:28	27466/27466	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:54%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	C:/My%20Web%20Sites/expensive%20tracker/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from https://pandeytanish.github.io/LOGINPAGE/landing.html)
02:01:29	2183/2183	---M-Z	200	added ('OK')	text/html	etag:W/%2261a5dc44-887%22	https://pandeytanish.github.io/LOGINPAGE/index2.html	C:/My%20Web%20Sites/expensive%20tracker/pandeytanish.github.io/LOGINPAGE/index2.html	(from https://pandeytanish.github.io/LOGINPAGE/landing.html)
02:01:29	2031/2031	---M-Z	200	added ('OK')	text/html	etag:W/%2261a5dc44-7ef%22	https://pandeytanish.github.io/LOGINPAGE/why.html	C:/My%20Web%20Sites/expensive%20tracker/pandeytanish.github.io/LOGINPAGE/why.html	(from https://pandeytanish.github.io/LOGINPAGE/landing.html)
02:01:30	3423/3423	---M-Z	200	added ('OK')	text/html	etag:W/%2261a5dc44-d5f%22	https://pandeytanish.github.io/LOGINPAGE/about.html	C:/My%20Web%20Sites/expensive%20tracker/pandeytanish.github.io/LOGINPAGE/about.html	(from https://pandeytanish.github.io/LOGINPAGE/landing.html)
02:01:30	2162/2162	---M-Z	200	added ('OK')	text/html	etag:W/%2261a5dc44-872%22	https://pandeytanish.github.io/LOGINPAGE/login.html	C:/My%20Web%20Sites/expensive%20tracker/pandeytanish.github.io/LOGINPAGE/login.html	(from https://pandeytanish.github.io/LOGINPAGE/landing.html)
02:01:30	1666/1666	---M-Z	200	added ('OK')	text/html	etag:W/%2261a5dc44-682%22	https://pandeytanish.github.io/LOGINPAGE/register.html	C:/My%20Web%20Sites/expensive%20tracker/pandeytanish.github.io/LOGINPAGE/register.html	(from https://pandeytanish.github.io/LOGINPAGE/landing.html)
02:01:31	605934/605934	---M--	200	added ('OK')	image/jpeg	etag:%2261a5dc44-93eee%22	https://pandeytanish.github.io/LOGINPAGE/ios_14_wwdc_2020_iphone_12_ipados_blue_with_light_orange_stock_4k_hd_abstract.jpg	C:/My%20Web%20Sites/expensive%20tracker/pandeytanish.github.io/LOGINPAGE/ios_14_wwdc_2020_iphone_12_ipados_blue_with_light_orange_stock_4k_hd_abstract.jpg	(from https://pandeytanish.github.io/LOGINPAGE/style.css)
02:01:31	3371/3371	---M-Z	200	added ('OK')	text/html	etag:W/%2261a5dc44-d2b%22	https://pandeytanish.github.io/LOGINPAGE/servicesnew.html	C:/My%20Web%20Sites/expensive%20tracker/pandeytanish.github.io/LOGINPAGE/servicesnew.html	(from https://pandeytanish.github.io/LOGINPAGE/index2.html)
02:01:31	3856/3856	---M-Z	200	added ('OK')	text/css	etag:W/%2261a5dc44-f10%22	https://pandeytanish.github.io/LOGINPAGE/why.css	C:/My%20Web%20Sites/expensive%20tracker/pandeytanish.github.io/LOGINPAGE/why.css	(from https://pandeytanish.github.io/LOGINPAGE/why.html)
